CRIM,INDUS,RM,DIS,PRICE
0.00632,2.31,6.575,4.09,24.0
0.02731,7.07,6.421,4.9671,21.6
0.02729,7.07,7.185,4.9671,34.7
0.03237,2.18,6.998,6.0622,33.4
0.06905,2.18,7.147,6.0622,36.2
0.02985,2.18,6.43,6.0622,28.7
0.08829,7.87,6.012,5.5605,22.9
0.14455,7.87,6.172,5.9505,27.1
0.21124,7.87,5.631,6.0821,16.5
0.17004,7.87,6.004,6.5921,18.9
0.22489,7.87,6.377,6.3467,15.0
0.11747,7.87,6.009,6.2267,18.9
0.09378,7.87,5.889,5.4509,21.7
0.62976,8.14,5.949,4.7075,20.4
0.63796,8.14,6.096,4.4619,18.2
0.62739,8.14,5.834,4.4986,19.9
1.05393,8.14,5.935,4.4986,23.1
0.7842,8.14,5.99,4.2579,17.5
0.80271,8.14,5.456,3.7965,20.2
0.7258,8.14,5.727,3.7965,18.2
1.25179,8.14,5.57,3.7979,13.6
0.85204,8.14,5.965,4.0123,19.6
1.23247,8.14,6.142,3.9769,15.2
0.98843,8.14,5.813,4.0952,14.5
0.75026,8.14,5.924,4.3996,15.6
0.84054,8.14,5.599,4.4546,13.9
0.67191,8.14,5.813,4.682,16.6
0.95577,8.14,6.047,4.4534,14.8
0.77299,8.14,6.495,4.4547,18.4
1.00245,8.14,6.674,4.239,21.0
1.13081,8.14,5.713,4.233,12.7
1.35472,8.14,6.072,4.175,14.5
1.38799,8.14,5.95,3.99,13.2
1.15172,8.14,5.701,3.7872,13.1
1.61282,8.14,6.096,3.7598,13.5
0.06417,5.96,5.933,3.3603,18.9
0.09744,5.96,5.841,3.3779,20.0
0.08014,5.96,5.85,3.9342,21.0
0.17505,5.96,5.966,3.8473,24.7
0.02763,2.95,6.595,5.4011,30.8
0.03359,2.95,7.024,5.4011,34.9
0.12744,6.91,6.77,5.7209,26.6
0.1415,6.91,6.169,5.7209,25.3
0.15936,6.91,6.211,5.7209,24.7
0.12269,6.91,6.069,5.7209,21.2
0.17142,6.91,5.682,5.1004,19.3
0.18836,6.91,5.786,5.1004,20.0
0.22927,6.91,6.03,5.6894,16.6
0.25387,6.91,5.399,5.87,14.4
0.21977,6.91,5.602,6.0877,19.4
0.08873,5.64,5.963,6.8147,19.7
0.04337,5.64,6.115,6.8147,20.5
0.0536,5.64,6.511,6.8147,25.0
0.04981,5.64,5.998,6.8147,23.4
0.0136,4.0,5.888,7.3197,18.9
0.01311,1.22,7.249,8.6966,35.4
0.02055,0.74,6.383,9.1876,24.7
0.01432,1.32,6.816,8.3248,31.6
0.15445,5.13,6.145,7.8148,23.3
0.10328,5.13,5.927,6.932,19.6
0.14932,5.13,5.741,7.2254,18.7
0.17171,5.13,5.966,6.8185,16.0
0.11027,5.13,6.456,7.2255,22.2
0.1265,5.13,6.762,7.9809,25.0
0.01951,1.38,7.104,9.2229,33.0
0.03584,3.37,6.29,6.6115,23.5
0.04379,3.37,5.787,6.6115,19.4
0.05789,6.07,5.878,6.498,22.0
0.13554,6.07,5.594,6.498,17.4
0.12816,6.07,5.885,6.498,20.9
0.08826,10.81,6.417,5.2873,24.2
0.15876,10.81,5.961,5.2873,21.7
0.09164,10.81,6.065,5.2873,22.8
0.19539,10.81,6.245,5.2873,23.4
0.07896,12.83,6.273,4.2515,24.1
0.09512,12.83,6.286,4.5026,21.4
0.10153,12.83,6.279,4.0522,20.0
0.08707,12.83,6.14,4.0905,20.8
0.05646,12.83,6.232,5.0141,21.2
0.08387,12.83,5.874,4.5026,20.3
0.04113,4.86,6.727,5.4007,28.0
0.04462,4.86,6.619,5.4007,23.9
0.03659,4.86,6.302,5.4007,24.8
0.03551,4.86,6.167,5.4007,22.9
0.05059,4.49,6.389,4.7794,23.9
0.05735,4.49,6.63,4.4377,26.6
0.05188,4.49,6.015,4.4272,22.5
0.07151,4.49,6.121,3.7476,22.2
0.0566,3.41,7.007,3.4217,23.6
0.05302,3.41,7.079,3.4145,28.7
0.04684,3.41,6.417,3.0923,22.6
0.03932,3.41,6.405,3.0921,22.0
0.04203,15.04,6.442,3.6659,22.9
0.02875,15.04,6.211,3.6659,25.0
0.04294,15.04,6.249,3.615,20.6
0.12204,2.89,6.625,3.4952,28.4
0.11504,2.89,6.163,3.4952,21.4
0.12083,2.89,8.069,3.4952,38.7
0.08187,2.89,7.82,3.4952,43.8
0.0686,2.89,7.416,3.4952,33.2
0.14866,8.56,6.727,2.7778,27.5
0.11432,8.56,6.781,2.8561,26.5
0.22876,8.56,6.405,2.7147,18.6
0.21161,8.56,6.137,2.7147,19.3
0.1396,8.56,6.167,2.421,20.1
0.13262,8.56,5.851,2.1069,19.5
0.1712,8.56,5.836,2.211,19.5
0.13117,8.56,6.127,2.1224,20.4
0.12802,8.56,6.474,2.4329,19.8
0.26363,8.56,6.229,2.5451,19.4
0.10793,8.56,6.195,2.7778,21.7
0.10084,10.01,6.715,2.6775,22.8
0.12329,10.01,5.913,2.3534,18.8
0.22212,10.01,6.092,2.548,18.7
0.14231,10.01,6.254,2.2565,18.5
0.17134,10.01,5.928,2.4631,18.3
0.13158,10.01,6.176,2.7301,21.2
0.15098,10.01,6.021,2.7474,19.2
0.13058,10.01,5.872,2.4775,20.4
0.14476,10.01,5.731,2.7592,19.3
0.06899,25.65,5.87,2.2577,22.0
0.07165,25.65,6.004,2.1974,20.3
0.09299,25.65,5.961,2.0869,20.5
0.15038,25.65,5.856,1.9444,17.3
0.09849,25.65,5.879,2.0063,18.8
0.16902,25.65,5.986,1.9929,21.4
0.38735,25.65,5.613,1.7572,15.7
0.25915,21.89,5.693,1.7883,16.2
0.32543,21.89,6.431,1.8125,18.0
0.88125,21.89,5.637,1.9799,14.3
0.34006,21.89,6.458,2.1185,19.2
1.19294,21.89,6.326,2.271,19.6
0.59005,21.89,6.372,2.3274,23.0
0.32982,21.89,5.822,2.4699,18.4
0.97617,21.89,5.757,2.346,15.6
0.55778,21.89,6.335,2.1107,18.1
0.32264,21.89,5.942,1.9669,17.4
0.35233,21.89,6.454,1.8498,17.1
0.2498,21.89,5.857,1.6686,13.3
0.54452,21.89,6.151,1.6687,17.8
0.2909,21.89,6.174,1.6119,14.0
1.62864,21.89,5.019,1.4394,14.4
3.32105,19.58,5.403,1.3216,13.4
4.0974,19.58,5.468,1.4118,15.6
2.77974,19.58,4.903,1.3459,11.8
2.37934,19.58,6.13,1.4191,13.8
2.15505,19.58,5.628,1.5166,15.6
2.36862,19.58,4.926,1.4608,14.6
2.33099,19.58,5.186,1.5296,17.8
2.73397,19.58,5.597,1.5257,15.4
1.6566,19.58,6.122,1.618,21.5
1.49632,19.58,5.404,1.5916,19.6
1.12658,19.58,5.012,1.6102,15.3
2.14918,19.58,5.709,1.6232,19.4
1.41385,19.58,6.129,1.7494,17.0
3.53501,19.58,6.152,1.7455,15.6
2.44668,19.58,5.272,1.7364,13.1
1.22358,19.58,6.943,1.8773,41.3
1.34284,19.58,6.066,1.7573,24.3
1.42502,19.58,6.51,1.7659,23.3
1.27346,19.58,6.25,1.7984,27.0
1.46336,19.58,7.489,1.9709,50.0
1.83377,19.58,7.802,2.0407,50.0
1.51902,19.58,8.375,2.162,50.0
2.24236,19.58,5.854,2.422,22.7
2.924,19.58,6.101,2.2834,25.0
2.01019,19.58,7.929,2.0459,50.0
1.80028,19.58,5.877,2.4259,23.8
2.3004,19.58,6.319,2.1,23.8
2.44953,19.58,6.402,2.2625,22.3
1.20742,19.58,5.875,2.4259,17.4
2.3139,19.58,5.88,2.3887,19.1
0.13914,4.05,5.572,2.5961,23.1
0.09178,4.05,6.416,2.6463,23.6
0.08447,4.05,5.859,2.7019,22.6
0.06664,4.05,6.546,3.1323,29.4
0.07022,4.05,6.02,3.5549,23.2
0.05425,4.05,6.315,3.3175,24.6
0.06642,4.05,6.86,2.9153,29.9
0.0578,2.46,6.98,2.829,37.2
0.06588,2.46,7.765,2.741,39.8
0.06888,2.46,6.144,2.5979,36.2
0.09103,2.46,7.155,2.7006,37.9
0.10008,2.46,6.563,2.847,32.5
0.08308,2.46,5.604,2.9879,26.4
0.06047,2.46,6.153,3.2797,29.6
0.05602,2.46,7.831,3.1992,50.0
0.07875,3.44,6.782,3.7886,32.0
0.12579,3.44,6.556,4.5667,29.8
0.0837,3.44,7.185,4.5667,34.9
0.09068,3.44,6.951,6.4798,37.0
0.06911,3.44,6.739,6.4798,30.5
0.08664,3.44,7.178,6.4798,36.4
0.02187,2.93,6.8,6.2196,31.1
0.01439,2.93,6.604,6.2196,29.1
0.01381,0.46,7.875,5.6484,50.0
0.04011,1.52,7.287,7.309,33.3
0.04666,1.52,7.107,7.309,30.3
0.03768,1.52,7.274,7.309,34.6
0.0315,1.47,6.975,7.6534,34.9
0.01778,1.47,7.135,7.6534,32.9
0.03445,2.03,6.162,6.27,24.1
0.02177,2.03,7.61,6.27,42.3
0.0351,2.68,7.853,5.118,48.5
0.02009,2.68,8.034,5.118,50.0
0.13642,10.59,5.891,3.9454,22.6
0.22969,10.59,6.326,4.3549,24.4
0.25199,10.59,5.783,4.3549,22.5
0.13587,10.59,6.064,4.2392,24.4
0.43571,10.59,5.344,3.875,20.0
0.17446,10.59,5.96,3.8771,21.7
0.37578,10.59,5.404,3.665,19.3
0.21719,10.59,5.807,3.6526,22.4
0.14052,10.59,6.375,3.9454,28.1
0.28955,10.59,5.412,3.5875,23.7
0.19802,10.59,6.182,3.9454,25.0
0.0456,13.89,5.888,3.1121,23.3
0.07013,13.89,6.642,3.4211,28.7
0.11069,13.89,5.951,2.8893,21.5
0.11425,13.89,6.373,3.3633,23.0
0.35809,6.2,6.951,2.8617,26.7
0.40771,6.2,6.164,3.048,21.7
0.62356,6.2,6.879,3.2721,27.5
0.6147,6.2,6.618,3.2721,30.1
0.31533,6.2,8.266,2.8944,44.8
0.52693,6.2,8.725,2.8944,50.0
0.38214,6.2,8.04,3.2157,37.6
0.41238,6.2,7.163,3.2157,31.6
0.29819,6.2,7.686,3.3751,46.7
0.44178,6.2,6.552,3.3751,31.5
0.537,6.2,5.981,3.6715,24.3
0.46296,6.2,7.412,3.6715,31.7
0.57529,6.2,8.337,3.8384,41.7
0.33147,6.2,8.247,3.6519,48.3
0.44791,6.2,6.726,3.6519,29.0
0.33045,6.2,6.086,3.6519,24.0
0.52058,6.2,6.631,4.148,25.1
0.51183,6.2,7.358,4.148,31.5
0.08244,4.93,6.481,6.1899,23.7
0.09252,4.93,6.606,6.1899,23.3
0.11329,4.93,6.897,6.3361,22.0
0.10612,4.93,6.095,6.3361,20.1
0.1029,4.93,6.358,7.0355,22.2
0.12757,4.93,6.393,7.0355,23.7
0.20608,5.86,5.593,7.9549,17.6
0.19133,5.86,5.605,7.9549,18.5
0.33983,5.86,6.108,8.0555,24.3
0.19657,5.86,6.226,8.0555,20.5
0.16439,5.86,6.433,7.8265,24.5
0.19073,5.86,6.718,7.8265,26.2
0.1403,5.86,6.487,7.3967,24.4
0.21409,5.86,6.438,7.3967,24.8
0.08221,5.86,6.957,8.9067,29.6
0.36894,5.86,8.259,8.9067,42.8
0.04819,3.64,6.108,9.2203,21.9
0.03548,3.64,5.876,9.2203,20.9
0.01538,3.75,7.454,6.3361,44.0
0.61154,3.97,8.704,1.801,50.0
0.66351,3.97,7.333,1.8946,36.0
0.65665,3.97,6.842,2.0107,30.1
0.54011,3.97,7.203,2.1121,33.8
0.53412,3.97,7.52,2.1398,43.1
0.52014,3.97,8.398,2.2885,48.8
0.82526,3.97,7.327,2.0788,31.0
0.55007,3.97,7.206,1.9301,36.5
0.76162,3.97,5.56,1.9865,22.8
0.7857,3.97,7.014,2.1329,30.7
0.57834,3.97,8.297,2.4216,50.0
