Location,Role,VendorID,InvoiceValue,Resource,StartTimestamp,EndTimestamp,CaseId,ActivityName,TotalStepTime(minutes),EstimatedProcessingTime(minutes),new_StartTimestamp,Column1
"San Diego, USA",start,Vendor2,729.27,Casey,28/07/2022 9:23:51,28/07/2022 9:23:51,0,start,0,0,28/07/2022 9:23:51,0%
"San Diego, USA",Invoice Processor,Vendor2,729.27,Casey,28/07/2022 9:23:51,28/07/2022 17:59:06,0,Invoice Entry,515.25,189.43,28/07/2022 14:49:40,37%
"San Diego, USA",Invoice Processor,Vendor2,729.27,Casey,28/07/2022 17:59:06,29/07/2022 0:43:19,0,Check Customer Payment,404.23,148.61,28/07/2022 22:14:43,37%
"San Diego, USA",Invoice Processor,Vendor2,729.27,Casey,29/07/2022 9:43:19,29/07/2022 15:04:05,0,Credit Memo Entry,320.76,117.93,29/07/2022 13:06:09,37%
"San Diego, USA",Invoice Processor,Vendor2,729.27,Casey,29/07/2022 15:04:05,29/07/2022 20:49:00,0,Refund Customer,344.92,126.81,29/07/2022 18:42:12,37%
"San Diego, USA",Invoice Processor,Vendor2,729.27,Casey,1/08/2022 9:49:00,1/08/2022 18:08:31,0,Re-issuing the invoice,499.51,183.64,1/08/2022 15:04:52,37%
"San Francisco, USA",start,Vendor2,2499.1,Aiden,21/07/2022 9:43:01,21/07/2022 9:43:01,1,start,0,0,21/07/2022 9:43:01,0%
"San Francisco, USA",Invoice Processor,Vendor2,2499.1,Aiden,21/07/2022 12:05:24,21/07/2022 13:54:26,1,Check Customer Payment,109.03,40.08,21/07/2022 13:14:21,37%
"San Francisco, USA",Invoice Processor,Vendor2,2499.1,Aiden,21/07/2022 13:54:26,21/07/2022 15:44:39,1,Credit Memo Entry,110.21,40.52,21/07/2022 15:04:08,37%
"San Francisco, USA",Invoice Processor,Vendor2,2499.1,Aiden,21/07/2022 15:44:39,21/07/2022 17:51:44,1,Refund Customer,127.09,46.72,21/07/2022 17:05:01,37%
"San Francisco, USA",Invoice Processor,Vendor2,2499.1,Aiden,21/07/2022 17:51:44,21/07/2022 19:05:54,1,Re-issuing the invoice,74.16,27.26,21/07/2022 18:38:38,37%
"San Francisco, USA",Invoice Processor,Vendor2,2499.1,Aiden,21/07/2022 9:43:01,21/07/2022 12:05:24,1,Invoice Entry,142.39,52.35,21/07/2022 11:13:03,37%
"San Diego, USA",Invoice Processor,Vendor5,1020.03,Abbie,25/07/2022 10:07:36,25/07/2022 15:53:52,10,Invoice Entry,346.27,127.3,25/07/2022 13:46:34,37%
"San Diego, USA",start,Vendor5,1020.03,Abbie,25/07/2022 10:07:36,25/07/2022 10:07:36,10,start,0,0,25/07/2022 10:07:36,0%
"San Diego, USA",Invoice Processor,Vendor5,1020.03,Abbie,28/07/2022 16:03:39,28/07/2022 22:04:33,10,Fill Credit Memo,360.91,132.69,28/07/2022 19:51:52,37%
"San Diego, USA",Invoice Processor,Vendor5,1020.03,Abbie,28/07/2022 9:18:16,28/07/2022 16:03:39,10,Credit Memo Creation,405.38,149.04,28/07/2022 13:34:36,37%
"San Diego, USA",Invoice Approver,Vendor5,1020.03,Jessie,27/07/2022 9:12:27,27/07/2022 19:18:16,10,Approve Invoice,605.81,69.96,27/07/2022 18:08:18,12%
"San Diego, USA",Invoice Approver,Vendor5,1020.03,Jessie,26/07/2022 16:03:22,26/07/2022 23:12:27,10,Complete the Customer Memo,429.09,49.55,26/07/2022 22:22:54,12%
"San Diego, USA",Invoice Processor,Vendor5,1020.03,Abbie,26/07/2022 9:52:10,26/07/2022 16:03:22,10,Refund With Standard Voucher,371.2,136.47,26/07/2022 13:46:54,37%
"San Diego, USA",Invoice Processor,Vendor5,1020.03,Abbie,25/07/2022 15:53:52,25/07/2022 22:52:10,10,Confirm Payment Received,418.29,153.78,25/07/2022 20:18:23,37%
"San Diego, USA",Invoice Processor,Vendor5,1020.03,Abbie,29/07/2022 9:04:33,29/07/2022 15:32:26,10,Re-issuing the invoice,387.88,142.6,29/07/2022 13:09:50,37%
"Seattle, USA",Invoice Approver,Vendor4,641.27,Addison,12/08/2022 11:31:14,12/08/2022 14:33:55,100,Complete the Customer Memo,182.69,21.1,12/08/2022 14:12:49,12%
